"country","mp","party","perceived","true","shift","stretch","shift_country","stretch_country","mp_num"
"l","1_l","PM",-0.336135443416798,-0.332056705946717,-0.165582698411523,1.04120149156692,-0.0154176459026251,0.11999779443464,1
"l","1_l","2nd",0.177117570273169,0.253156693409085,-0.165582698411523,1.04120149156692,-0.0154176459026251,0.11999779443464,1
"l","2_l","PM",0.691542755554336,-0.332056705946717,0.0804379344299786,1.17913019385088,-0.0154176459026251,0.11999779443464,2
"l","2_l","2nd",0.316749083813924,0.253156693409085,0.0804379344299786,1.17913019385088,-0.0154176459026251,0.11999779443464,2
"l","3_l","PM",-0.116491011471544,-0.332056705946717,0.208135787006248,0.250238926163141,-0.0154176459026251,0.11999779443464,3
"l","3_l","2nd",0.102903697482822,0.253156693409085,0.208135787006248,0.250238926163141,-0.0154176459026251,0.11999779443464,3
"l","4_l","PM",-1.20263110893622,-0.332056705946717,0.0115499382830749,1.60007368929309,-0.0154176459026251,0.11999779443464,4
"l","4_l","2nd",0.1035470976616,0.253156693409085,0.0115499382830749,1.60007368929309,-0.0154176459026251,0.11999779443464,4
"l","5_l","PM",0.0224421104641068,-0.332056705946717,-0.103517115526074,1.17496640173417,-0.0154176459026251,0.11999779443464,5
"l","5_l","2nd",0.600081354049798,0.253156693409085,-0.103517115526074,1.17496640173417,-0.0154176459026251,0.11999779443464,5
"l","6_l","PM",0.390580702392798,-0.332056705946717,-0.123783183884286,1.17061140577413,-0.0154176459026251,0.11999779443464,6
"l","6_l","2nd",0.951476543657126,0.253156693409085,-0.123783183884286,1.17061140577413,-0.0154176459026251,0.11999779443464,6
"l","7_l","PM",-0.841040162493911,-0.332056705946717,-0.0164962583562241,1.46601979044162,-0.0154176459026251,0.11999779443464,7
"l","7_l","2nd",0.605616073404691,0.253156693409085,-0.0164962583562241,1.46601979044162,-0.0154176459026251,0.11999779443464,7
"l","8_l","PM",-0.983623684311634,-0.332056705946717,-0.00343117876053345,1.49979943638794,-0.0154176459026251,0.11999779443464,8
"l","8_l","2nd",0.131989289614939,0.253156693409085,-0.00343117876053345,1.49979943638794,-0.0154176459026251,0.11999779443464,8
